crop,horizon_weeks,n_weeks,n_weeks_actual_flat,directional_accuracy_pct,note
onion,1,242,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
onion,4,239,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
onion,13,230,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
onion,26,217,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,1,242,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,4,239,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,13,230,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,26,217,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,1,242,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,4,239,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,13,230,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,26,217,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
