crop,horizon_weeks,n_weeks,n_weeks_actual_flat,directional_accuracy_pct,note
onion,1,240,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
onion,4,237,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
onion,13,228,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
onion,26,215,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,1,238,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,4,235,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,13,226,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
potato,26,213,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,1,240,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,4,237,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,13,228,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
tomato,26,215,0,0.0,"Naive always predicts ""no change"" by construction -- it never calls a direction, so its directional accuracy is ~0% whenever the actual price moves at all. Crop-level weekly-mean data (coarser than the M0/M6 per-market numbers above), reported as context only."
